#Millis,TC1Internal(C),TC1External(C),TC2Internal(C),TC2External(C)
20132,27.69,97.00,27.31,27.00
20239,27.62,96.75,27.25,26.75
20344,27.69,96.75,27.31,27.00
20451,27.62,96.75,27.31,26.75
20557,27.62,96.75,27.25,27.00
20664,27.62,96.50,27.31,26.75
20769,27.69,96.75,27.25,26.75
20876,27.69,96.50,27.25,26.75
20982,27.62,96.50,27.31,27.00
21089,27.69,96.25,27.25,26.75
21194,27.69,96.25,27.31,26.75
21301,27.62,96.50,27.31,27.00
21407,27.69,96.75,27.31,26.75
21514,27.69,96.50,27.31,26.75
21619,27.62,96.25,27.25,26.75
21726,27.62,96.50,27.31,26.75
21832,27.62,96.50,27.25,26.75
21939,27.69,96.50,27.31,26.75
22044,27.69,96.50,27.25,26.75
22151,27.62,96.50,27.31,26.75
22257,27.62,96.75,27.31,27.00
22364,27.62,96.75,27.31,26.75
22469,27.69,96.75,27.31,26.75
22576,27.62,96.75,27.31,26.75
22682,27.69,96.75,27.37,27.00
22789,27.62,96.75,27.31,26.75
22894,27.69,96.75,27.31,26.75
23001,27.69,96.75,27.31,26.75
23107,27.69,96.75,27.31,27.00
23214,27.69,96.75,27.31,27.00
23319,27.62,96.75,27.31,26.75
23426,27.62,96.75,27.31,27.00
23532,27.62,96.75,27.25,26.75
23639,27.62,96.50,27.31,26.75
23744,27.62,96.50,27.25,27.00
23851,27.69,96.50,27.31,26.75
23957,27.62,96.25,27.25,26.75
24064,27.62,96.00,27.31,26.75
24169,27.62,96.25,27.25,26.75
24275,27.62,96.50,27.31,26.75
24382,27.69,96.50,27.31,26.75
24488,27.62,96.50,27.31,26.75
24594,27.69,96.50,27.31,26.75
24700,27.62,96.50,27.25,26.75
24807,27.69,96.50,27.25,26.75
24913,27.62,96.50,27.25,26.75
25019,27.69,96.50,27.31,26.75
25125,27.69,96.50,27.31,26.75
25232,27.62,96.50,27.25,26.75
25338,27.69,96.00,27.31,27.00
25444,27.69,96.00,27.31,26.75
25550,27.69,96.25,27.25,27.00
25657,27.62,96.50,27.25,26.75
25763,27.69,96.50,27.31,26.75
25869,27.62,96.50,27.31,26.75
25975,27.69,96.50,27.31,26.75
26082,27.69,96.50,27.31,26.75
26188,27.69,96.50,27.31,26.75
26294,27.69,96.50,27.31,26.75
26400,27.62,96.50,27.25,26.75
26507,27.69,96.50,27.31,26.75
26613,27.62,96.50,27.25,26.75
26719,27.62,96.50,27.25,26.75
26825,27.69,96.50,27.31,27.00
26932,27.62,96.25,27.25,26.75
27038,27.62,96.50,27.31,26.75
27144,27.62,96.25,27.25,26.75
27250,27.69,96.25,27.25,26.75
27357,27.69,96.00,27.31,26.75
27463,27.62,96.25,27.31,27.00
27570,27.69,96.25,27.31,26.75
27675,27.62,96.25,27.31,27.00
27782,27.69,96.25,27.31,26.75
27888,27.69,96.50,27.25,26.75
27995,27.62,96.25,27.31,27.00
28100,27.69,96.00,27.25,26.75
28207,27.69,96.25,27.31,26.75
28313,27.62,96.00,27.31,26.75
28420,27.69,96.00,27.31,26.75
28525,27.69,96.00,27.25,26.75
28632,27.69,96.00,27.31,27.00
28738,27.69,96.25,27.31,26.75
28845,27.69,96.00,27.25,26.75
28950,27.62,96.25,27.31,27.00
29057,27.69,96.25,27.25,26.75
29163,27.62,96.25,27.25,26.75
29270,27.62,95.75,27.31,26.75
29375,27.62,96.00,27.25,26.75
29481,27.62,96.00,27.31,26.75
29588,27.69,96.25,27.31,26.75
29694,27.62,96.00,27.31,26.75
29800,27.62,95.75,27.31,26.75
29906,27.62,95.75,27.25,26.75
30013,27.62,96.00,27.31,26.75
30119,27.69,96.25,27.25,26.75
30225,27.62,96.25,27.31,26.75
30331,27.69,96.25,27.31,26.75
30438,27.62,96.00,27.25,27.00
30544,27.69,96.25,27.31,27.00
30650,27.62,96.25,27.31,26.75
30756,27.62,96.25,27.31,27.00
30863,27.69,96.00,27.31,26.75
30969,27.62,96.00,27.31,26.75
31075,27.69,96.25,27.25,26.75
31181,27.69,96.00,27.31,26.75
31288,27.69,96.00,27.31,26.75
31394,27.62,95.75,27.25,26.75
31500,27.62,95.75,27.25,26.75
31606,27.62,95.75,27.31,27.00
31713,27.62,96.00,27.31,26.75
31819,27.62,96.00,27.25,26.75
31925,27.69,96.00,27.25,26.75
32031,27.62,96.00,27.31,26.75
32138,27.62,96.00,27.25,26.75
32244,27.69,96.25,27.31,26.75
32350,27.62,96.25,27.31,27.00
32456,27.62,96.25,27.25,26.75
32563,27.62,96.00,27.31,26.75
32669,27.69,96.00,27.31,26.75
32775,27.69,96.00,27.25,26.75
32881,27.62,96.00,27.31,27.00
32988,27.62,96.00,27.31,26.75
33094,27.62,96.25,27.31,26.75
33200,27.62,96.25,27.25,26.75
33306,27.62,96.00,27.25,26.75
33413,27.62,96.00,27.31,26.75
33519,27.69,96.00,27.25,26.75
33625,27.62,96.00,27.25,26.75
33731,27.69,96.25,27.25,26.75
33838,27.69,96.25,27.25,26.75
33944,27.62,96.00,27.31,26.75
34050,27.62,96.00,27.25,26.75
34156,27.62,96.00,27.31,26.75
34263,27.62,96.00,27.31,27.00
34369,27.62,95.75,27.25,26.75
34475,27.62,95.25,27.25,26.75
34581,27.69,95.25,27.31,26.75
34688,27.62,95.25,27.31,26.75
34794,27.62,95.50,27.25,26.75
34899,27.62,95.75,27.31,27.00
35006,27.69,96.00,27.31,26.75
35112,27.62,96.00,27.25,26.75
35219,27.62,96.00,27.25,26.75
35324,27.62,96.00,27.25,26.75
35431,27.62,96.00,27.25,26.75
35537,27.62,95.75,27.25,26.75
35644,27.62,95.75,27.31,26.75
35749,27.62,95.50,27.25,26.75
35856,27.62,95.50,27.25,26.75
35962,27.62,95.75,27.25,26.75
36069,27.69,96.00,27.25,26.75
36174,27.69,96.00,27.31,26.75
36281,27.62,96.00,27.31,26.75
36387,27.69,96.00,27.25,27.00
36494,27.62,96.00,27.25,26.75
36599,27.62,96.00,27.31,26.75
36706,27.69,96.00,27.25,26.75
36812,27.62,95.75,27.25,26.75
36919,27.69,96.00,27.31,26.75
37024,27.69,96.00,27.31,26.75
37131,27.69,96.00,27.25,26.75
37237,27.69,96.00,27.31,26.75
37344,27.62,96.00,27.25,26.75
37449,27.62,96.25,27.25,26.75
37556,27.69,96.25,27.25,26.75
37662,27.62,96.00,27.25,26.75
37769,27.62,96.00,27.25,26.75
37874,27.69,95.75,27.25,26.75
37981,27.62,96.00,27.25,26.75
38087,27.69,96.00,27.25,26.75
38194,27.62,96.00,27.31,26.75
38299,27.62,96.00,27.31,26.75
38406,27.69,96.00,27.31,26.75
38512,27.69,96.00,27.31,27.00
38619,27.62,95.75,27.31,26.75
38724,27.62,95.25,27.25,26.75
38831,27.62,95.50,27.31,26.75
38937,27.62,95.50,27.25,26.75
39044,27.69,95.50,27.31,26.75
39149,27.62,95.75,27.25,26.75
39256,27.62,95.50,27.25,26.75
39362,27.62,95.50,27.25,26.75
39469,27.69,95.50,27.31,26.75
39574,27.69,95.25,27.25,26.75
