#Millis,TC1Internal(C),TC1External(C),TC2Internal(C),TC2External(C)
2500,27.56,94.25,27.25,26.75
2606,27.56,94.25,27.25,26.75
2712,27.56,94.25,27.25,27.00
2819,27.56,94.00,27.31,26.75
2924,27.56,94.00,27.31,27.00
3031,27.56,94.00,27.31,27.00
3137,27.56,94.00,27.25,27.00
3243,27.56,94.00,27.31,26.75
3349,27.56,94.00,27.31,27.00
3456,27.56,94.00,27.25,26.75
3562,27.56,94.00,27.25,27.00
3667,27.56,94.00,27.25,27.00
3774,27.56,93.75,27.25,26.75
3880,27.56,93.75,27.25,27.00
3986,27.56,93.75,27.25,26.75
4092,27.56,93.75,27.31,27.00
4199,27.62,93.75,27.25,27.00
4304,27.56,93.75,27.25,27.00
4411,27.56,93.50,27.25,26.75
4517,27.56,93.25,27.25,26.75
4624,27.56,93.00,27.31,27.00
4729,27.56,93.00,27.25,26.75
4836,27.56,93.00,27.31,27.00
4942,27.56,92.75,27.31,26.75
5048,27.56,92.75,27.31,26.75
5154,27.56,92.75,27.25,27.00
5261,27.56,92.75,27.25,26.75
5366,27.56,92.50,27.25,26.75
5473,27.50,92.25,27.25,26.75
5579,27.56,92.50,27.25,26.75
5686,27.56,92.25,27.25,26.75
5791,27.56,92.00,27.25,27.00
5898,27.56,91.75,27.25,26.75
6004,27.56,91.50,27.31,27.00
6110,27.56,92.00,27.25,26.75
6216,27.62,92.25,27.25,26.75
6323,27.56,92.00,27.25,26.75
6429,27.56,91.50,27.25,27.00
6535,27.56,91.50,27.25,27.00
6641,27.56,91.50,27.31,27.00
6748,27.56,91.50,27.31,27.00
6853,27.62,91.25,27.31,27.00
6960,27.56,91.00,27.25,26.75
7066,27.56,91.25,27.25,27.00
7172,27.56,91.00,27.31,26.75
7278,27.50,91.00,27.31,27.00
7385,27.56,90.75,27.25,26.75
7490,27.56,90.50,27.25,26.75
7597,27.56,90.75,27.31,27.00
7703,27.56,91.00,27.31,26.75
7810,27.56,91.25,27.31,27.00
7915,27.62,91.50,27.31,27.00
8022,27.56,91.50,27.31,27.00
8128,27.56,91.25,27.25,26.75
8233,27.56,91.25,27.25,27.00
8340,27.56,90.75,27.25,26.75
8446,27.56,91.00,27.31,26.75
8553,27.56,91.50,27.31,27.00
8658,27.62,91.25,27.31,27.00
8765,27.56,91.00,27.25,26.75
8871,27.62,90.50,27.25,27.00
8977,27.56,90.25,27.31,27.00
9083,27.56,90.25,27.31,27.00
9190,27.56,90.00,27.25,27.00
9295,27.56,90.50,27.31,27.00
9402,27.62,90.75,27.25,27.00
9508,27.62,90.75,27.25,27.00
9614,27.56,90.75,27.25,26.75
9720,27.62,91.00,27.31,27.00
9827,27.56,91.25,27.31,27.00
9933,27.56,91.25,27.31,27.00
10039,27.56,91.50,27.31,27.00
10145,27.56,91.50,27.25,27.00
10252,27.62,91.25,27.31,26.75
10358,27.62,91.50,27.31,27.00
10464,27.56,91.50,27.31,27.00
10570,27.56,91.50,27.31,26.75
10677,27.56,91.75,27.25,26.75
10783,27.62,91.75,27.25,27.00
10889,27.56,91.00,27.31,27.00
10995,27.62,90.75,27.31,27.00
11102,27.56,90.00,27.31,27.00
11207,27.56,90.25,27.31,27.00
11314,27.56,90.25,27.25,26.75
11420,27.62,90.25,27.25,27.00
11527,27.56,90.25,27.25,27.00
11632,27.62,90.25,27.25,27.00
11739,27.62,90.25,27.31,27.00
11845,27.62,90.50,27.25,27.00
11952,27.56,90.75,27.25,27.00
12057,27.62,90.50,27.31,27.00
12164,27.56,90.75,27.31,27.00
12270,27.56,90.75,27.25,27.00
12377,27.62,90.75,27.25,27.00
12482,27.56,91.00,27.31,27.00
12589,27.56,90.50,27.31,27.00
12695,27.56,90.00,27.31,27.00
12802,27.62,88.75,27.31,27.00
12907,27.62,88.75,27.31,27.00
13014,27.56,88.75,27.31,27.00
13120,27.56,88.75,27.31,27.00
13227,27.56,89.25,27.31,27.00
13332,27.62,90.00,27.25,27.00
13438,27.62,90.25,27.31,27.00
13545,27.56,90.25,27.31,27.00
13651,27.62,90.25,27.31,27.00
13757,27.62,90.00,27.25,27.00
13863,27.62,89.75,27.31,27.00
13970,27.62,89.50,27.31,27.00
14076,27.62,89.25,27.31,27.00
14182,27.62,89.25,27.31,27.00
14288,27.56,89.25,27.31,27.25
